pid	n_a3m_files
101m_A	3
102l_A	3
102m_A	3
103l_A	3
104l_A	3
104m_A	3
106m_A	3
107l_A	3
108l_A	3
109l_A	3
109m_A	3
10gs_A	3
10mh_A	3
110l_A	3
111l_A	3
112l_A	3
113l_A	3
114l_A	3
115l_A	3
117e_A	3
118l_A	3
119l_A	3
11as_A	3
11ba_A	3
11gs_A	3
120l_A	3
121p_A	3
122l_A	3
123l_A	3
125l_A	3
126l_A	3
127l_A	3
128l_A	3
129l_A	3
12ca_A	3
12e8_H	3
12e8_L	3
130l_A	3
131l_A	3
132l_A	3
133l_A	3
134l_A	3
135l_A	3
137l_A	3
138l_A	3
139l_A	3
13pk_A	3
140l_A	3
141l_A	3
142l_A	3
143l_A	3
144l_A	3
145l_A	3
146l_A	3
147l_A	3
148l_E	3
148l_S	3
149l_A	3
150l_A	3
151l_A	3
152l_A	3
153l_A	3
155c_A	3
155l_A	3
156l_A	3
157l_A	3
158l_A	3
159l_A	3
15c8_H	3
15c8_L	3
160l_A	3
161l_A	3
162l_A	3
163l_A	3
164l_A	3
165l_A	3
166l_A	3
167l_A	3
168l_A	3
169l_A	3
16vp_A	3
170l_A	3
171l_A	3
172l_A	3
173d_C	3
173l_A	3
174l_A	3
175l_A	3
176d_A	3
176l_A	3
177l_A	3
17gs_A	3
181l_A	3
185d_A	3
189l_A	3
190l_A	3
1914_A	3
191l_A	3
192l_A	3
193d_C	3
195l_A	3
196l_A	3
197l_A	3
198l_A	3
199l_A	3
19hc_A	3
1a00_A	3
1a00_B	3
1a01_B	3
1a02_F	3
1a02_J	3
1a02_N	3
1a03_A	3
1a04_A	3
1a05_A	3
1a06_A	3
1a07_A	3
1a07_C	3
1a0a_A	3
1a0b_A	3
1a0c_A	3
1a0d_A	3
1a0e_A	3
1a0f_A	3
1a0g_A	3
1a0h_A	3
1a0h_B	3
1a0i_A	3
1a0j_A	3
1a0k_A	3
1a0l_A	3
1a0m_A	3
1a0n_A	3
1a0n_B	3
1a0o_A	3
1a0o_B	3
1a0p_A	3
1a0q_H	3
1a0q_L	3
1a0r_B	3
1a0r_G	3
1a0r_P	3
1a0s_P	3
1a0u_B	3
1a11_A	3
1a12_A	3
1a13_A	2
1a14_H	3
1a14_L	3
1a14_N	3
1a15_A	3
1a16_A	3
1a17_A	2
1a18_A	3
1a19_A	3
1a1a_A	3
1a1d_A	3
1a1f_A	3
1a1h_A	2
1a1i_A	3
1a1l_A	3
1a1m_A	3
1a1m_B	3
1a1m_C	3
