id	subset	subtracted_length	sequence_length	query_length	num_sequences
1A6F-A	test_pdbch	0	119	119	256
1ATI-A	test_pdbch	0	505	505	256
1A9C-A	test_pdbch	0	221	221	256
1AOS-A	test_pdbch	0	464	464	256
1A0P-A	test_pdbch	0	290	290	256
1AO5-A	test_pdbch	0	237	237	256
1AIN-A	test_pdbch	0	314	314	256
1A4E-A	test_pdbch	0	488	488	256
1AII-A	test_pdbch	0	323	323	256
1AI3-A	test_pdbch	0	416	416	256
1A8Y-A	test_pdbch	0	367	367	256
18GS-A	test_pdbch	0	210	210	256
1AHP-A	test_pdbch	0	797	797	256
1AHH-A	test_pdbch	0	255	255	256
11AS-A	test_pdbch	0	330	330	256
1AGR-E	test_pdbch	0	205	205	256
1A22-A	test_pdbch	0	191	191	256
1AE5-A	test_pdbch	0	225	225	256
1A6J-A	test_pdbch	0	163	163	256
1AD3-A	test_pdbch	0	452	452	256
1A9W-E	test_pdbch	0	146	146	256
1AYE-A	test_pdbch	0	401	401	256
1AU1-A	test_pdbch	0	166	166	256
1B0W-A	test_pdbch	0	108	108	256
1AUA-A	test_pdbch	0	296	296	256
1B4P-A	test_pdbch	0	217	217	256
1AVC-A	test_pdbch	0	673	673	256
1AYZ-A	test_pdbch	0	169	169	256
1BD8-A	test_pdbch	0	156	156	256
1BIX-A	test_pdbch	0	287	287	256
1BJ4-A	test_pdbch	0	470	470	256
1BDX-A	test_pdbch	0	203	203	256
1BG3-A	test_pdbch	0	918	918	256
1BEH-A	test_pdbch	0	187	187	256
1BJO-A	test_pdbch	0	360	360	256
1BU8-A	test_pdbch	0	452	452	256
1BP1-A	test_pdbch	0	456	456	256
1BL0-A	test_pdbch	0	129	129	256
1C03-A	test_pdbch	0	168	168	256
1C1Z-A	test_pdbch	0	326	326	256
1C0F-A	test_pdbch	0	368	368	256
1C9Y-A	test_pdbch	0	321	321	256
1C8U-A	test_pdbch	0	285	285	256
1CH4-A	test_pdbch	0	146	146	256
1CD1-A	test_pdbch	0	315	315	256
1CD9-A	test_pdbch	0	175	175	256
1CI0-A	test_pdbch	0	228	228	256
1CM8-A	test_pdbch	0	367	367	256
1CJL-A	test_pdbch	0	312	312	256
1CK7-A	test_pdbch	0	631	631	256
1CM7-A	test_pdbch	0	363	363	256
1CN4-C	test_pdbch	0	166	166	205
1CNT-1	test_pdbch	0	187	187	256
1CYV-A	test_pdbch	0	98	98	256
1CJY-A	test_pdbch	0	749	749	256
1CT9-A	test_pdbch	0	553	553	256
1CSR-A	test_pdbch	0	435	435	256
1D0M-A	test_pdbch	0	322	322	256
1D2C-A	test_pdbch	0	292	292	256
1D1T-A	test_pdbch	0	373	373	256
1D7K-A	test_pdbch	0	421	421	256
1D6Z-A	test_pdbch	0	727	727	256
1DCE-A	test_pdbch	0	567	567	256
1DBP-A	test_pdbch	0	271	271	256
1DDB-A	test_pdbch	0	195	195	240
1DEU-A	test_pdbch	0	277	277	256
1DGU-A	test_pdbch	0	183	183	256
1DI7-A	test_pdbch	0	195	195	256
1DIH-A	test_pdbch	0	273	273	256
1DOL-A	test_pdbch	0	77	77	256
1DKG-A	test_pdbch	0	197	197	256
1DKL-A	test_pdbch	0	410	410	256
1DL2-A	test_pdbch	0	511	511	256
1DIR-A	test_pdbch	0	241	241	256
1DTS-A	test_pdbch	0	221	221	256
