status	original_id	matched_id	converted_id	notes
DIRECT	155C-A	155C-A	155c_A	Exact ID match
DIRECT	16VP-A	16VP-A	16vp_A	Exact ID match
DIRECT	1914-A	1914-A	1914_A	Exact ID match
DIRECT	19HC-A	19HC-A	19hc_A	Exact ID match
DIRECT	1A05-A	1A05-A	1a05_A	Exact ID match
DIRECT	1A0C-A	1A0C-A	1a0c_A	Exact ID match
DIRECT	1A0D-A	1A0D-A	1a0d_A	Exact ID match
DIRECT	1A0E-A	1A0E-A	1a0e_A	Exact ID match
DIRECT	1A0H-A	1A0H-A	1a0h_A	Exact ID match
DIRECT	1A0I-A	1A0I-A	1a0i_A	Exact ID match
DIRECT	1A0J-A	1A0J-A	1a0j_A	Exact ID match
DIRECT	1A0Q-L	1A0Q-L	1a0q_L	Exact ID match
DIRECT	1A0R-P	1A0R-P	1a0r_P	Exact ID match
DIRECT	1A14-H	1A14-H	1a14_H	Exact ID match
DIRECT	1A14-L	1A14-L	1a14_L	Exact ID match
DIRECT	1A17-A	1A17-A	1a17_A	Exact ID match
DIRECT	1A1S-A	1A1S-A	1a1s_A	Exact ID match
DIRECT	1A1Z-A	1A1Z-A	1a1z_A	Exact ID match
DIRECT	1A25-A	1A25-A	1a25_A	Exact ID match
DIRECT	1A2A-A	1A2A-A	1a2a_A	Exact ID match
DIRECT	1A2O-A	1A2O-A	1a2o_A	Exact ID match
DIRECT	1A2Z-A	1A2Z-A	1a2z_A	Exact ID match
DIRECT	1A3W-A	1A3W-A	1a3w_A	Exact ID match
DIRECT	1A41-A	1A41-A	1a41_A	Exact ID match
DIRECT	1A47-A	1A47-A	1a47_A	Exact ID match
DIRECT	1A57-A	1A57-A	1a57_A	Exact ID match
DIRECT	1A59-A	1A59-A	1a59_A	Exact ID match
DIRECT	1A5I-A	1A5I-A	1a5i_A	Exact ID match
DIRECT	1A5Z-A	1A5Z-A	1a5z_A	Exact ID match
DIRECT	1A6C-A	1A6C-A	1a6c_A	Exact ID match
DIRECT	1A6D-B	1A6D-B	1a6d_B	Exact ID match
DIRECT	1A6R-A	1A6R-A	1a6r_A	Exact ID match
DIRECT	1A6X-A	1A6X-A	1a6x_A	Exact ID match
DIRECT	1A6Y-A	1A6Y-A	1a6y_A	Exact ID match
DIRECT	1A6Z-A	1A6Z-A	1a6z_A	Exact ID match
DIRECT	1A70-A	1A70-A	1a70_A	Exact ID match
DIRECT	1A73-A	1A73-A	1a73_A	Exact ID match
DIRECT	1A75-A	1A75-A	1a75_A	Exact ID match
DIRECT	1A76-A	1A76-A	1a76_A	Exact ID match
DIRECT	1A79-A	1A79-A	1a79_A	Exact ID match
DIRECT	1A7G-E	1A7G-E	1a7g_E	Exact ID match
DIRECT	1A7M-A	1A7M-A	1a7m_A	Exact ID match
DIRECT	1A7O-L	1A7O-L	1a7o_L	Exact ID match
DIRECT	1A7V-A	1A7V-A	1a7v_A	Exact ID match
DIRECT	1A80-A	1A80-A	1a80_A	Exact ID match
DIRECT	1A81-A	1A81-A	1a81_A	Exact ID match
DIRECT	1A87-A	1A87-A	1a87_A	Exact ID match
DIRECT	1A88-A	1A88-A	1a88_A	Exact ID match
DIRECT	1A8P-A	1A8P-A	1a8p_A	Exact ID match
DIRECT	1A8Q-A	1A8Q-A	1a8q_A	Exact ID match
DIRECT	1A8S-A	1A8S-A	1a8s_A	Exact ID match
DIRECT	1A99-A	1A99-A	1a99_A	Exact ID match
DIRECT	1A9O-A	1A9O-A	1a9o_A	Exact ID match
DIRECT	1A9V-A	1A9V-A	1a9v_A	Exact ID match
DIRECT	1AA3-A	1AA3-A	1aa3_A	Exact ID match
DIRECT	1AA7-A	1AA7-A	1aa7_A	Exact ID match
DIRECT	1AB8-A	1AB8-A	1ab8_A	Exact ID match
DIRECT	1ABR-B	1ABR-B	1abr_B	Exact ID match
DIRECT	1ABV-A	1ABV-A	1abv_A	Exact ID match
DIRECT	1AC5-A	1AC5-A	1ac5_A	Exact ID match
DIRECT	1ACX-A	1ACX-A	1acx_A	Exact ID match
DIRECT	1AD5-A	1AD5-A	1ad5_A	Exact ID match
DIRECT	1AD6-A	1AD6-A	1ad6_A	Exact ID match
DIRECT	1ADJ-A	1ADJ-A	1adj_A	Exact ID match
DIRECT	1ADR-A	1ADR-A	1adr_A	Exact ID match
DIRECT	1ADZ-A	1ADZ-A	1adz_A	Exact ID match
DIRECT	1AE1-A	1AE1-A	1ae1_A	Exact ID match
DIRECT	1AE7-A	1AE7-A	1ae7_A	Exact ID match
DIRECT	1AE9-A	1AE9-A	1ae9_A	Exact ID match
DIRECT	1AEC-A	1AEC-A	1aec_A	Exact ID match
DIRECT	1AF5-A	1AF5-A	1af5_A	Exact ID match
DIRECT	1AFA-1	1AFA-1	1afa_1	Exact ID match
DIRECT	1AFS-A	1AFS-A	1afs_A	Exact ID match
DIRECT	1AG9-A	1AG9-A	1ag9_A	Exact ID match
DIRECT	1AGQ-A	1AGQ-A	1agq_A	Exact ID match
DIRECT	1AH9-A	1AH9-A	1ah9_A	Exact ID match
DIRECT	1AHD-P	1AHD-P	1ahd_P	Exact ID match
DIRECT	1AHW-A	1AHW-A	1ahw_A	Exact ID match
DIRECT	1AIH-A	1AIH-A	1aih_A	Exact ID match
DIRECT	1AIP-C	1AIP-C	1aip_C	Exact ID match
DIRECT	1AIS-B	1AIS-B	1ais_B	Exact ID match
DIRECT	1AIW-A	1AIW-A	1aiw_A	Exact ID match
DIRECT	1AJ8-A	1AJ8-A	1aj8_A	Exact ID match
DIRECT	1AJK-A	1AJK-A	1ajk_A	Exact ID match
DIRECT	1AJO-A	1AJO-A	1ajo_A	Exact ID match
DIRECT	1AK0-A	1AK0-A	1ak0_A	Exact ID match
DIRECT	1AK1-A	1AK1-A	1ak1_A	Exact ID match
DIRECT	1AK5-A	1AK5-A	1ak5_A	Exact ID match
DIRECT	1AKL-A	1AKL-A	1akl_A	Exact ID match
DIRECT	1AKM-A	1AKM-A	1akm_A	Exact ID match
DIRECT	1AKN-A	1AKN-A	1akn_A	Exact ID match
DIRECT	1AKO-A	1AKO-A	1ako_A	Exact ID match
DIRECT	1AKP-A	1AKP-A	1akp_A	Exact ID match
DIRECT	1AKS-B	1AKS-B	1aks_B	Exact ID match
DIRECT	1AL0-G	1AL0-G	1al0_G	Exact ID match
DIRECT	1AL3-A	1AL3-A	1al3_A	Exact ID match
DIRECT	1ALL-A	1ALL-A	1all_A	Exact ID match
DIRECT	1ALL-B	1ALL-B	1all_B	Exact ID match
DIRECT	1ALQ-A	1ALQ-A	1alq_A	Exact ID match
DIRECT	1AM2-A	1AM2-A	1am2_A	Exact ID match
DIRECT	1AM5-A	1AM5-A	1am5_A	Exact ID match
DIRECT	1AM9-A	1AM9-A	1am9_A	Exact ID match
DIRECT	1AMX-A	1AMX-A	1amx_A	Exact ID match
DIRECT	1AN4-A	1AN4-A	1an4_A	Exact ID match
DIRECT	1ANU-A	1ANU-A	1anu_A	Exact ID match
DIRECT	1AO0-A	1AO0-A	1ao0_A	Exact ID match
DIRECT	1AO7-D	1AO7-D	1ao7_D	Exact ID match
DIRECT	1AOA-A	1AOA-A	1aoa_A	Exact ID match
DIRECT	1AOC-A	1AOC-A	1aoc_A	Exact ID match
DIRECT	1AOI-B	1AOI-B	1aoi_B	Exact ID match
DIRECT	1AOK-A	1AOK-A	1aok_A	Exact ID match
DIRECT	1AOY-A	1AOY-A	1aoy_A	Exact ID match
DIRECT	1APA-A	1APA-A	1apa_A	Exact ID match
DIRECT	1APS-A	1APS-A	1aps_A	Exact ID match
DIRECT	1APX-A	1APX-A	1apx_A	Exact ID match
DIRECT	1AQ0-A	1AQ0-A	1aq0_A	Exact ID match
DIRECT	1AQC-A	1AQC-A	1aqc_A	Exact ID match
DIRECT	1AQE-A	1AQE-A	1aqe_A	Exact ID match
DIRECT	1AQK-L	1AQK-L	1aqk_L	Exact ID match
DIRECT	1AQU-A	1AQU-A	1aqu_A	Exact ID match
DIRECT	1AR1-C	1AR1-C	1ar1_C	Exact ID match
DIRECT	1ASH-A	1ASH-A	1ash_A	Exact ID match
DIRECT	1ASS-A	1ASS-A	1ass_A	Exact ID match
DIRECT	1AT3-A	1AT3-A	1at3_A	Exact ID match
DIRECT	1ATG-A	1ATG-A	1atg_A	Exact ID match
DIRECT	1ATT-A	1ATT-A	1att_A	Exact ID match
DIRECT	1AU7-A	1AU7-A	1au7_A	Exact ID match
DIRECT	1AUM-A	1AUM-A	1aum_A	Exact ID match
DIRECT	1AUN-A	1AUN-A	1aun_A	Exact ID match
DIRECT	1AUO-A	1AUO-A	1auo_A	Exact ID match
DIRECT	1AUT-L	1AUT-L	1aut_L	Exact ID match
DIRECT	1AUZ-A	1AUZ-A	1auz_A	Exact ID match
DIRECT	1AV1-A	1AV1-A	1av1_A	Exact ID match
DIRECT	1AVA-C	1AVA-C	1ava_C	Exact ID match
DIRECT	1AVB-A	1AVB-A	1avb_A	Exact ID match
DIRECT	1AVF-A	1AVF-A	1avf_A	Exact ID match
DIRECT	1AVO-B	1AVO-B	1avo_B	Exact ID match
DIRECT	1AVU-A	1AVU-A	1avu_A	Exact ID match
DIRECT	1AW7-A	1AW7-A	1aw7_A	Exact ID match
