original_id	matched_id	similarity_score	notes
1W8X-M	1w8x_M	NA	Stage 1
2WWX-B	2wwx_B	NA	Stage 1
3J6D-a	3j6d_Y	NA	Stage 2
3J79-d	3j79_d	NA	Stage 1
3J79-F	3j79_F	NA	Stage 1
3J79-I	3j79_I	NA	Stage 1
3J7P-k	3j7o_k	NA	Stage 2
3J7Q-b	3j7o_b	NA	Stage 2
3J7R-j	3j7o_j	NA	Stage 2
3J7R-Sf	3j7p_Sf	NA	Stage 2
3J7Y-F	3j7y_F	NA	Stage 1
3J7Y-h	3j7y_h	NA	Stage 1
3J81-a	3j80_a	NA	Stage 2
3J81-e	3j80_e	NA	Stage 2
3J81-f	3j80_f	NA	Stage 2
3J92-h	3j7o_h	NA	Stage 2
3J9M-d	3j7y_d	NA	Stage 2
3J9M-j	3j7y_j	NA	Stage 2
3J9M-r	3j7y_r	NA	Stage 2
3JAH-b	3jag_b	NA	Stage 2
3JAH-cc	3jag_cc	NA	Stage 2
3JAJ-d	3jag_d	NA	Stage 2
3JAP-g	3j80_g	NA	Stage 2
3JB9-a	3jb9_a	NA	Stage 1
3JB9-d	3jb9_d	NA	Stage 1
3JB9-e	3jb9_e	NA	Stage 1
3JB9-I	3jb9_I	NA	Stage 1
3JB9-k	3jb9_k	NA	Stage 1
3JBP-Ad	3jbn_Ad	NA	Stage 2
3JBP-Ah	3jbn_Ah	NA	Stage 2
3JCS-b	3jcs_b	NA	Stage 1
3JCS-E	3jcs_E	NA	Stage 1
3JCS-g	3jcs_g	NA	Stage 1
3JCS-h	3jcs_h	NA	Stage 1
3JCS-j	3jcs_j	NA	Stage 1
3JCS-n	3jcs_n	NA	Stage 1
3JCT-w	3jct_w	NA	Stage 1
3JD5-b	3jd5_b	NA	Stage 1
3JD5-c	3jd5_c	NA	Stage 1
3JD5-e	3jd5_e	NA	Stage 1
3JD5-F	3jd5_F	NA	Stage 1
3JD5-g	3jd5_g	NA	Stage 1
3JD5-i	3jd5_i	NA	Stage 1
3JD5-J	3jd5_J	NA	Stage 1
3JD5-N	3jd5_N	NA	Stage 1
3M7G-A	3m7g_A	NA	Stage 1
4CE4-i	4ce4_i	NA	Stage 1
4D5Y-e	3j7o_e	NA	Stage 2
4UER-c	4uer_c	NA	Stage 1
4UG0-Lm	3j7o_m	NA	Stage 2
4UJC-Bu	4d5y_u	NA	Stage 2
4V3P-Lg	4v3p_Lg	NA	Stage 1
4V3P-LJ	4v3p_LJ	NA	Stage 1
4V3P-Lk	4v3p_Lk	NA	Stage 1
4V3P-Ll	4v3p_Ll	NA	Stage 1
4V3P-Ln	4v3p_Ln	NA	Stage 1
4V4N-Aa	4v4n_Aa	NA	Stage 1
4V4N-Ab	4v4n_Ab	NA	Stage 1
4V4N-AD	4v4n_AD	NA	Stage 1
4V4N-Ai	4v4n_Ai	NA	Stage 1
4V6U-BE	4v4n_AE	NA	Stage 2
4V6W-Aa	4v6w_Aa	NA	Stage 1
4V6W-Ac	4v6w_Ac	NA	Stage 1
4V6W-Ag	4v6w_Ag	NA	Stage 1
4V6W-Ah	4v6w_Ah	NA	Stage 1
4V6W-Az	4v6w_Az	NA	Stage 1
4V6W-Ce	4v6w_Ce	NA	Stage 1
4V6W-Cz	4v6w_Cz	NA	Stage 1
4V7E-Ca	4v3p_LO	NA	Stage 2
4V7E-CE	4v3p_Lh	NA	Stage 2
4V7E-CI	4v7e_CI	NA	Stage 1
4V7E-CO	4v3p_LK	NA	Stage 2
4V7E-Cp	4v3p_Lm	NA	Stage 2
4V7E-CQ	4v7e_CQ	NA	Stage 1
4V7E-Cr	4v7e_Cr	NA	Stage 1
4V7E-Cs	4v7e_Cs	NA	Stage 1
4V8M-BJ	4v8m_BJ	NA	Stage 1
4V8M-BK	4v8m_BK	NA	Stage 1
4V8M-BR	4v8m_BR	NA	Stage 1
4V8M-BU	4v8m_BU	NA	Stage 1
4V8M-BV	4v8m_BV	NA	Stage 1
4V8M-Bw	4v8m_Bw	NA	Stage 1
4V8M-Bx	4v8m_Bx	NA	Stage 1
4V92-Bf	4v92_Bf	NA	Stage 1
5AJ3-c	5aj3_c	NA	Stage 1
5AJ3-o	5aj3_o	NA	Stage 1
5AJ4-Ab	5aj3_b	NA	Stage 2
5AJ4-Aj	5aj3_j	NA	Stage 2
5GAF-i	5gaf_i	NA	Stage 1
5GAO-E	5gao_E	NA	Stage 1
5GM6-a	5gm6_a	NA	Stage 1
5GM6-v	5gm6_v	NA	Stage 1
5GUP-J	5gpn_w	NA	Stage 2
5GUP-k	5gpn_i	NA	Stage 2
5IT7-a	5it7_a	NA	Stage 1
5IT7-AA	5it7_AA	NA	Stage 1
5IT7-gg	5it7_gg	NA	Stage 1
5IT7-HH	5it7_HH	NA	Stage 1
5IT7-II	5it7_II	NA	Stage 1
5IT7-OO	5it7_OO	NA	Stage 1
5IT7-PP	5it7_PP	NA	Stage 1
5IT9-f	5it7_f	NA	Stage 2
5JPQ-y	4bts_AQ	NA	Stage 2
5K0Y-Y	3j7p_Sb	NA	Stage 2
5LC5-b	5lc5_b	NA	Stage 1
5LC5-c	5lc5_c	NA	Stage 1
5LC5-g	5lc5_g	NA	Stage 1
5LC5-m	5lc5_m	NA	Stage 1
5LDW-a	5lc5_a	NA	Stage 2
5LDW-n	5lc5_n	NA	Stage 2
5LDX-d	5lc5_d	NA	Stage 2
5LDX-e	5lc5_e	NA	Stage 2
5LI0-s	5li0_s	NA	Stage 1
5LJ3-g	3jcm_X	NA	Stage 2
5LNK-a	5lnk_a	NA	Stage 1
5LNK-H	5lnk_H	NA	Stage 1
5LNK-k	5lnk_k	NA	Stage 1
5LNK-N	5lnk_N	NA	Stage 1
5LNK-w	5lnk_w	NA	Stage 1
5LZV-cc	3j7p_Sc	NA	Stage 2
5LZV-i	5lzs_i	NA	Stage 2
5LZV-p	3j92_p	NA	Stage 2
5LZY-j	4d5y_j	NA	Stage 2
5NJT-b	5njt_b	NA	Stage 1
5NJT-e	3j3v_L	NA	Stage 2
5O31-d	5o31_d	NA	Stage 1
5O31-q	5ldw_q	NA	Stage 2
5O61-BH	5o5j_H	NA	Stage 2
5O61-I	5o60_I	NA	Stage 2
5O61-K	5o60_K	NA	Stage 2
5O61-R	5o60_R	NA	Stage 2
5OOL-e	3j7y_e	NA	Stage 2
5OOL-q	3j7y_q	NA	Stage 2
5OOM-k	3j7y_k	NA	Stage 2
5OOM-o	3j7y_o	NA	Stage 2
5OPT-L	5opt_L	NA	Stage 1
5OPT-m	5opt_m	NA	Stage 1
5OPT-o	5opt_o	NA	Stage 1
5OPT-R	5opt_R	NA	Stage 1
5OPT-T	5opt_T	NA	Stage 1
5OQL-a	5jpq_b	NA	Stage 2
5OQL-c	5oql_c	NA	Stage 1
5OQL-d	5oql_d	NA	Stage 1
5OQL-E	5oql_E	NA	Stage 1
5OQL-g	5jpq_g	NA	Stage 2
5OQL-m	5oql_m	NA	Stage 1
5OQL-n	5oql_n	NA	Stage 1
5OQL-o	5oql_o	NA	Stage 1
5OQL-P	5oql_P	NA	Stage 1
5OQL-r	5oql_r	NA	Stage 1
5OQL-t	5oql_t	NA	Stage 1
5OQL-V	5oql_V	NA	Stage 1
5OQL-z	5oql_z	NA	Stage 1
5OXE-A	5oxe_A	NA	Stage 1
5T2A-i	3jcs_a	NA	Stage 2
5T2A-V	5t2a_V	NA	Stage 1
5T5H-L	5t5h_L	NA	Stage 1
5T5H-o	5t5h_o	NA	Stage 1
5T5H-r	5t5h_r	NA	Stage 1
5T5H-T	5t5h_T	NA	Stage 1
5T5H-u	5t5h_u	NA	Stage 1
5T5H-V	5t5h_V	NA	Stage 1
5T5H-W	5t5h_W	NA	Stage 1
5TRE-a	5t0v_a	NA	Stage 2
5VF3-a	5vf3_a	NA	Stage 1
5VFT-e	5vft_e	NA	Stage 1
5VHF-d	5vhf_d	NA	Stage 1
5VK2-A	5vk2_A	NA	Stage 1
5XTD-s	5xtc_s	NA	Stage 2
5XTD-w	5xtc_w	NA	Stage 2
5XXB-C	5xxb_C	NA	Stage 1
5XXB-E	5xxb_E	NA	Stage 1
5XXB-G	5xxb_G	NA	Stage 1
5XXB-H	5xxb_H	NA	Stage 1
5XXB-I	5xxb_I	NA	Stage 1
5XXB-j	5xxb_j	NA	Stage 1
5XXB-l	5xxb_l	NA	Stage 1
5XXB-P	5xxb_P	NA	Stage 1
5XXU-A	5xxu_A	NA	Stage 1
5XY3-a	5xy3_a	NA	Stage 1
5XY3-E	5xy3_E	NA	Stage 1
5XY3-G	5xy3_G	NA	Stage 1
5XY3-I	5xy3_I	NA	Stage 1
5XY3-M	5xy3_M	NA	Stage 1
5XYI-B	5xyi_B	NA	Stage 1
5XYI-C	5xyi_C	NA	Stage 1
5XYI-E	5xyi_E	NA	Stage 1
5Y6P-a8	5y6p_a8	NA	Stage 1
5YZG-y	5yzg_y	NA	Stage 1
5ZEB-2	5o5j_g	NA	Stage 2
5ZEB-6	5o60_e	NA	Stage 2
6AZ3-c	6az3_c	NA	Stage 1
6AZ3-D	6az3_D	NA	Stage 1
6AZ3-e	6az3_e	NA	Stage 1
6AZ3-H	6az3_H	NA	Stage 1
6D9J-g	6d90_g	NA	Stage 2
6DZI-k	6dzi_k	NA	Stage 1
6DZI-r	6dzi_r	NA	Stage 1
6DZI-y	6dzi_y	NA	Stage 1
6EK0-Lc	3j7o_c	NA	Stage 2
6ERI-Ac	5x8p_3	NA	Stage 2
6ERI-AZ	6eri_AZ	NA	Stage 1
6FKH-b	6fkf_b	NA	Stage 2
6G2J-a	6g2j_a	NA	Stage 1
6G2J-d	6g2j_d	NA	Stage 1
6G2J-E	6g2j_E	NA	Stage 1
6G2J-k	6g2j_k	NA	Stage 1
6G2J-n	6g2j_n	NA	Stage 1
6G72-c	6g2j_c	NA	Stage 2
6G72-H	6g2j_H	NA	Stage 2
6G72-i	6g2j_i	NA	Stage 2
6G72-j	6g2j_j	NA	Stage 2
6G72-o	6g2j_o	NA	Stage 2
6G72-p	6g2j_p	NA	Stage 2
6G72-r	6g2j_r	NA	Stage 2
6GAZ-Af	5aj3_f	NA	Stage 2
6GCS-D	6gcs_D	NA	Stage 1
6GCS-F	6gcs_F	NA	Stage 1
6GCS-H	6gcs_H	NA	Stage 1
6GZ4-Ac	6gz3_Ac	NA	Stage 2
6HCJ-d3	3j7o_d	NA	Stage 2
6HCJ-m3	5lzs_m	NA	Stage 2
6HCQ-b3	5lzs_b	NA	Stage 2
6HCQ-o3	3j7o_o	NA	Stage 2
6HIV-Ap	6hiv_Ap	NA	Stage 1
6HIV-BC	6hiv_BC	NA	Stage 1
6HIV-Bf	6hiv_Bf	NA	Stage 1
6HIV-Cn	6hiv_Cn	NA	Stage 1
6HIW-Cp	6hiv_Cp	NA	Stage 2
6HIX-Af	6hiv_Af	NA	Stage 2
6HIX-Aj	6hiv_Aj	NA	Stage 2
6HIX-AV	6hiv_Av	NA	Stage 2
6HIX-BG	6hiv_Bg	NA	Stage 2
6HIY-Cq	6hiv_Cq	NA	Stage 2
6HIY-Cr	6hiv_Cr	NA	Stage 2
6MTE-cc	6gz3_Bc	NA	Stage 2
6NEQ-k	3jd5_k	NA	Stage 2
6NEQ-o	3jd5_o	NA	Stage 2
6NEQ-p	3jd5_p	NA	Stage 2
6O7X-a	6o7v_a	NA	Stage 2
6QDV-f	6qdv_f	NA	Stage 1
192L-A	192l_A	NA	Stage 1
1A0A-A	1a0a_A	NA	Stage 1
1A21-A	1a21_A	NA	Stage 1
1A27-A	1a27_A	NA	Stage 1
1A3Q-A	1a3q_A	NA	Stage 1
1A44-A	1a44_A	NA	Stage 1
1A5J-A	1a5j_A	NA	Stage 1
1A7J-A	1a7j_A	NA	Stage 1
1A8L-A	1a8l_A	NA	Stage 1
1ADN-A	1adn_A	NA	Stage 1
1AFC-A	1afc_A	NA	Stage 1
1AGX-A	1agx_A	NA	Stage 1
1AHS-A	1ahs_A	NA	Stage 1
1ALC-A	1alc_A	NA	Stage 1
1AOH-A	1aoh_A	NA	Stage 1
1AOR-A	1aor_A	NA	Stage 1
1ASO-A	1aoz_A	NA	Stage 2
1AT0-A	1at0_A	NA	Stage 1
1AVG-I	1avg_I	NA	Stage 1
1AVO-A	1avo_A	NA	Stage 1
1AWE-A	1awe_A	NA	Stage 1
1B1C-A	1b1c_A	NA	Stage 1
1B33-A	1b33_A	NA	Stage 1
1B35-C	1b35_C	NA	Stage 1
1B4B-A	1b4b_A	NA	Stage 1
1B74-A	1b73_A	NA	Stage 2
1B7V-A	1b7v_A	NA	Stage 1
1B8D-A	1b8d_A	NA	Stage 1
1BB8-A	1bb8_A	NA	Stage 1
1BBH-A	1bbh_A	NA	Stage 1
1BDB-A	1bdb_A	NA	Stage 1
1BDG-A	1bdg_A	NA	Stage 1
1BE4-A	1be4_A	NA	Stage 1
1BF5-A	1bf5_A	NA	Stage 1
1BH8-B	1bh8_B	NA	Stage 1
1BHE-A	1bhe_A	NA	Stage 1
1BIY-A	1biy_A	NA	Stage 1
1BUU-A	1buu_A	NA	Stage 1
1BW5-A	1bw5_A	NA	Stage 1
1BXU-A	1bxu_A	NA	Stage 1
1BYL-A	1byl_A	NA	Stage 1
1BZS-A	1bzs_A	NA	Stage 1
1C20-A	1c20_A	NA	Stage 1
1C3C-A	1c3c_A	NA	Stage 1
1C5M-D	1c5m_D	NA	Stage 1
1C7G-A	1c7g_A	NA	Stage 1
1C7Z-A	1c7z_A	NA	Stage 1
1C8N-A	1c8n_A	NA	Stage 1
1CB7-A	1cb7_A	NA	Stage 1
1CEM-A	1cem_A	NA	Stage 1
1CG5-A	1cg5_A	NA	Stage 1
1CI6-B	1ci6_B	NA	Stage 1
1CIV-A	1civ_A	NA	Stage 1
1CKM-A	1ckm_A	NA	Stage 1
1COR-A	1cor_A	NA	Stage 1
1COT-A	1cot_A	NA	Stage 1
1CPJ-A	1cpj_A	NA	Stage 1
1CPM-A	1cpm_A	NA	Stage 1
1CVR-A	1cvr_A	NA	Stage 1
1CYG-A	1cyg_A	NA	Stage 1
1CYW-A	1cyw_A	NA	Stage 1
1CZF-A	1czf_A	NA	Stage 1
1D02-A	1d02_A	NA	Stage 1
1DE6-A	1d8w_A	NA	Stage 2
1DFK-Y	1dfk_Y	NA	Stage 1
1DFX-A	1dfx_A	NA	Stage 1
1DGI-4	1dgi_4	NA	Stage 1
1DII-C	1dii_C	NA	Stage 1
1DIN-A	1din_A	NA	Stage 1
1DIX-A	1dix_A	NA	Stage 1
1DK8-A	1dk8_A	NA	Stage 1
1DL7-H	1dl7_H	NA	Stage 1
1DLI-A	1dli_A	NA	Stage 1
1DNV-A	1dnv_A	NA	Stage 1
1DP5-B	1dp5_B	NA	Stage 1
1DR5-A	1dr1_A	NA	Stage 2
1DTD-A	1dtd_A	NA	Stage 1
1DTL-A	1dtl_A	NA	Stage 1
1DVF-C	1dvf_C	NA	Stage 1
1DWN-A	1dwn_A	NA	Stage 1
1DX5-I	1dx5_I	NA	Stage 1
1DXS-A	1dxs_A	NA	Stage 1
1DYP-A	1dyp_A	NA	Stage 1
1E2B-A	1e2b_A	NA	Stage 1
1E3J-A	1e3j_A	NA	Stage 1
1E3X-A	1e3x_A	NA	Stage 1
1E4F-T	1e4f_T	NA	Stage 1
1E5R-A	1e5r_A	NA	Stage 1
1E5X-A	1e5x_A	NA	Stage 1
1E6V-C	1e6v_C	NA	Stage 1
1E6Y-C	1e6y_C	NA	Stage 1
1E8V-A	1e8t_A	NA	Stage 2
1EA9-C	1ea9_C	NA	Stage 1
1ECE-A	1ece_A	NA	Stage 1
1EHE-A	1ehe_A	NA	Stage 1
1EI6-A	1ei6_A	NA	Stage 1
1EKB-B	1ekb_B	NA	Stage 1
1EMT-L	1emt_L	NA	Stage 1
1EMU-A	1emu_A	NA	Stage 1
1EPF-A	1epf_A	NA	Stage 1
1EPT-B	1ept_B	NA	Stage 1
1EQ2-A	1eq2_A	NA	Stage 1
1ESR-A	1esr_A	NA	Stage 1
1ETT-H	1a0h_B	NA	Stage 2
1EUA-A	1eua_A	NA	Stage 1
1EVS-A	1evs_A	NA	Stage 1
1EYX-A	1eyx_A	NA	Stage 1
1EYX-B	1eyx_B	NA	Stage 1
1F05-A	1f05_A	NA	Stage 1
1F1C-A	1f1c_A	NA	Stage 1
1F2N-A	1f2n_A	NA	Stage 1
1F3L-A	1f3l_A	NA	Stage 1
1F5T-A	1f5t_A	NA	Stage 1
1F6B-A	1f6b_A	NA	Stage 1
1F7U-A	1bs2_A	NA	Stage 2
1F8F-A	1f8f_A	NA	Stage 1
1F8V-A	1f8v_A	NA	Stage 1
